Name,Team,Position,Minutes Played,Goals,Assists,Shots,Shots On Target,Fouls Won,MAX
James Snaith,Brown,Midfielder,700,1,0,10,3,9,63
Gabriele Bosio,Merrimack,Defender,735,1,1,8,4,10,63
Jacob Adams,Saint Francis,Midfielder,734,1,0,7,1,8,63
Josh Hallenberger,California Baptist,Forward,965,1,2,15,6,16,63
Gerard Lopez Forner,Niagara,Forward,949,5,1,28,14,17,63
Pavel Romero-Garmendia,Georgia St.,Midfielder,739,1,1,10,3,16,63
Brad Moccio,Massachusetts,Defender,642,0,1,2,0,5,63
Daniel Blackmore,Saint Peter's,Defender,772,0,0,3,1,16,63
Natsuki Ogata,Charlotte,Forward,855,3,0,24,11,12,63
Ryan Fessler,Wake Forest,Midfielder,679,0,1,8,1,7,63
Bryce Lebel,Northwestern,Defender,622,0,0,2,0,8,63
Romario Simpson,Howard,Defender,952,1,1,2,2,7,63
Noah Lopez,UC Riverside,Forward,940,4,0,14,8,10,63
Bilal Camara,Louisville,Midfielder,674,1,3,6,2,1,63
Mohamed Soumah,UAlbany,Forward,889,0,1,13,5,10,63
Nick Miller,Yale,Defender,612,1,2,4,3,7,63
Javier Lopez,San Jose St.,Defender,673,0,0,2,1,6,63
Welnilton Da Silva Jr.,Coastal Carolina,Defender,717,0,0,2,0,9,63
Anel Kafedzic,Lindenwood,Defender,555,1,3,14,7,9,63
Marcos Soria,Purdue Fort Wayne,Defender,503,1,2,8,4,19,63
Wilfer Bustamante,Furman,Forward,804,5,2,19,7,17,63
Foday Bangura,Villanova,Defender,754,0,0,3,0,13,63
Daniel Burko,Syracuse,Forward,721,3,0,13,6,15,63
Paul Son,Northwestern,Midfielder,712,2,1,15,4,6,63
Bennett Gerak,Northern Ky.,Midfielder,757,1,1,12,2,10,63
Ryan Armijo,Winthrop,Midfielder,924,2,1,17,6,14,63
Kome Ubogu,Virginia,Forward,681,4,1,21,7,13,63
Nate Ward,Saint Louis,Forward,840,3,4,20,9,12,63
Marko Martsinkovsky,UIC,Midfielder,793,0,1,1,0,8,63
John Nino,Detroit Mercy,Defender,797,1,1,2,1,8,63
Pascal Leatherman,Milwaukee,Defender,450,1,1,6,4,24,63
Jaiden Ramsay-Kelly,Houston Christian,Defender,647,0,0,0,0,8,63
Evan Jimerson,DePaul,Midfielder,760,0,0,1,0,6,63
Jonathan Stout,Michigan St.,Forward,1057,4,2,28,11,11,63
Andrew Darakdjian,Oakland,Forward,846,2,4,35,10,13,63
Key White,Old Dominion,Forward,795,2,4,16,9,12,63
Cole Knapp,Villanova,Defender,802,0,0,1,0,8,63
Michael Hewes,Penn St.,Midfielder,774,2,1,17,9,9,63
Ibrahim Conde,New Hampshire,Forward,706,6,1,22,11,26,63
Jakub Drazek,NIU,Midfielder,868,0,0,9,4,14,63
Julian Kanzler,Oakland,Midfielder,753,0,2,3,1,8,63
Mitchell Dryden,Marquette,Midfielder,617,3,2,9,5,11,62
Kevin Thallinger,Tulsa,Defender,802,0,0,1,0,5,62
Liam Ireland,UMass Lowell,Midfielder,688,1,0,16,8,6,62
Jony Munoz,Grand Canyon,Forward,1120,1,3,12,5,10,62
Tyler Tipton,Santa Clara,Forward,1037,5,0,23,11,21,62
Marlon Tabora,Georgetown,Forward,815,3,1,25,9,15,62
Alex Oliveira,Fairfield,Midfielder,700,0,2,4,1,25,62
Akinjide Awujo,Northwestern,Forward,868,5,0,25,10,19,62
Roy Biegon,Lafayette,Forward,860,6,2,28,12,10,62
Toby Goldner,Colgate,Defender,648,0,1,5,4,1,62
Owen Drummond,Fairfield,Midfielder,757,1,2,2,1,12,62
Jemone Barclay,South Fla.,Defender,560,1,3,13,6,9,62
Zach Renz,SIUE,Midfielder,688,0,0,5,2,10,62
Jeremy Tsang,Vermont,Defender,574,0,1,15,4,9,62
Ian Joya,VMI,Midfielder,766,0,0,3,2,14,62
Jose Ibarra,Chicago St.,Defender,1019,0,0,1,0,12,62
David Ambaek,Longwood,Defender,1063,0,0,2,1,4,62
Dakota Jonke,Duquesne,Forward,831,2,2,21,7,24,62
Vitus Voitl,St. Thomas (MN),Defender,910,0,0,1,0,5,62
Victor Labite,FDU,Midfielder,711,0,0,1,1,9,62
Dante Williams,Oregon St.,Midfielder,601,1,2,16,9,12,62
Alex Champagne,Temple,Midfielder,796,0,0,5,2,9,62
Michael Acquah,Syracuse,Forward,720,1,6,24,9,6,62
Nicholas Cassiday,Michigan,Midfielder,704,0,1,11,3,9,62
Devin Zachry,Fairfield,Forward,878,3,5,17,8,12,62
Tyler Murphy,Northern Ky.,Unknown,742,4,0,32,16,8,62
Ethan Agyare-Danso,Central Conn. St.,Forward,1174,3,3,21,11,14,62
Anton Bjarkason,Coastal Carolina,Defender,658,0,1,2,1,9,62
Tommy Kniser,St. Thomas (MN),Midfielder,897,0,1,2,0,5,62
Adrian Guzman,California,Midfielder,668,0,2,6,1,4,62
Giuliano Michitti,Le Moyne,Midfielder,711,2,0,10,4,4,62
Xander Naguib,UNC Asheville,Midfielder,618,1,1,2,1,12,62
Michael Tsicoulias,New Hampshire,Forward,777,2,1,20,7,12,62
Juan Pablo Leano,Fairfield,Defender,756,0,0,2,1,10,62
Aysa Hamid,UNC Asheville,Forward,677,3,0,25,11,5,62
Joe Hernandez,NIU,Midfielder,773,2,1,13,6,17,62
Gunnar Studenhofft,South Fla.,Forward,796,4,2,30,12,19,62
Hilary Odhiambo,Chicago St.,Forward,882,2,2,21,6,16,62
Jack Guggemos,Michigan St.,Midfielder,675,1,0,19,8,13,62
Jayden Waski,DePaul,Forward,618,1,2,4,2,14,62
Pedro Amancio,North Florida,Defender,606,0,3,9,2,6,62
Brandon Calderon,Liberty,Defender,656,0,0,3,1,1,62
Michael Nesci,Indiana,Forward,673,4,0,19,9,4,62
Damian Segura,Drake,Midfielder,412,5,1,17,12,11,62
Diomario Adamson,Winthrop,Midfielder,975,2,0,17,6,4,62
Pablo Torre,UTRGV,Forward,873,4,1,25,12,18,62
Michael Asare,Boston College,Forward,811,2,2,18,11,14,62
Dan Dobrin,George Washington,Midfielder,955,0,0,6,3,5,62
Chris Giglio,Massachusetts,Defender,609,0,0,1,0,9,62
Tim Allos,Detroit Mercy,Forward,765,2,1,16,6,6,62
Neal Carlson,Boston U.,Defender,702,0,0,2,0,0,62
Harry Dale,Ga. Southern,Midfielder,656,0,4,18,8,7,62
Armari Fowlkes,Bradley,Midfielder,731,0,1,6,1,10,62
Konstantinos Marneros,Memphis,Midfielder,732,1,1,9,2,6,62
Waldemar Kattrup,Bucknell,Midfielder,762,2,0,12,7,3,62
Rc Schmeider,Cleveland St.,Midfielder,687,0,1,6,1,11,62
Efetobo Aror,Portland,Midfielder,666,1,1,2,1,12,62
Japkull Sveinsson,Saint Joseph's,Defender,831,0,0,2,0,5,62
Diego Domenech,Gonzaga,Defender,666,0,0,3,1,10,62
Jireh Oyebamiji,Houston Christian,Forward,867,0,0,23,10,8,62
Charlie Gaffney,Penn,Forward,779,1,3,21,10,6,62
Freddy Ferguson,Houston Christian,Midfielder,602,1,3,9,4,12,62
Keagan Pace,DePaul,Forward,601,3,5,11,7,11,61
Caleb Woodward,Queens (NC),Midfielder,795,1,0,3,1,6,61
John Adekunle,South Fla.,Forward,838,2,1,17,12,9,61
Brock Martindale,Southern Ind.,Defender,720,1,0,9,3,4,61
Louis Hervouin,South Fla.,Midfielder,692,0,0,4,2,11,61
Conlan Paventi,Saint Peter's,Forward,909,3,2,20,8,32,61
Mikey Lennon,Ga. Southern,Defender,679,0,0,0,0,4,61
Francesco Mazzei,Oakland,Midfielder,641,2,1,5,3,9,61
Jabari De Coteau,Xavier,Defender,577,0,0,4,2,24,61
Joel Mcintyre,Western Ill.,Unknown,1684,1,0,7,1,8,61
Jayden Jackson,Temple,Midfielder,763,0,0,6,1,9,61
Wesley Cribb,Kansas City,Defender,650,1,0,4,2,2,61
Caleb Danquah,Stony Brook,Forward,714,3,1,21,10,11,61
Luc Finelli,St. Bonaventure,Defender,722,1,0,5,3,4,61
Luke Johnson,Saint Joseph's,Midfielder,858,0,5,13,4,7,61
Dominic Valenzuela,FDU,Midfielder,665,0,3,4,4,9,61
Shea Coughlin,Lehigh,Midfielder,802,0,1,4,1,3,61
Jubril Bamgbala,Army West Point,Forward,941,2,2,21,8,15,61
Draven Barnett,Saint Louis,Midfielder,661,0,1,4,1,9,61
Donovan Boone,Butler,Midfielder,740,0,0,7,1,10,61
Keegan James,St. Thomas (MN),Midfielder,885,0,0,4,3,2,61
Nigel Griffith,St. John's (NY),Forward,672,3,4,22,13,18,61
Kosi Udeh,Robert Morris,Forward,609,5,2,20,11,10,61
Yuki Sekiguchi,Tulsa,Midfielder,801,0,1,12,3,18,61
Lucas Fenton,Niagara,Midfielder,874,1,0,7,5,10,61
Landon Hill,Furman,Midfielder,632,1,0,2,1,8,61
Jack Sias,Fordham,Defender,616,0,3,1,1,1,61
Carson Wood,Jacksonville,Forward,851,1,4,19,8,10,61
Matthew Toolan,Milwaukee,Defender,602,0,0,2,1,7,61
Felix Kogler,Niagara,Forward,884,4,3,45,23,10,61
Orrett Maine,Dartmouth,Midfielder,665,2,0,3,3,11,61
Josiah Green,Lipscomb,Forward,777,0,0,9,4,13,61
Michael Bolognone,Southern Ind.,Defender,793,0,0,0,0,6,61
Jason Morrill,Rhode Island,Defender,660,0,0,0,0,3,61
Jamin Gogo Peters,Brown,Forward,734,2,1,19,10,10,61
Bowen Mccloud,Tulsa,Midfielder,889,0,1,5,2,8,61
Ali Taleb,Northern Ky.,Forward,876,2,1,19,10,13,61
Max Aquino,UIC,Midfielder,614,1,1,8,3,15,61
Jacob Vitale,Fairfield,Midfielder,831,0,0,4,1,6,61
Miguel Ramirez,Georgia St.,Midfielder,703,0,0,8,2,12,61
Myles Culley,Davidson,Midfielder,627,2,3,23,11,9,61
Eric Stiles,Belmont,Midfielder,698,0,1,1,0,11,61
Kajus Kontautas,Green Bay,Forward,677,0,1,9,3,17,61
Theo Maartensson,La Salle,Midfielder,714,0,0,4,1,5,61
