Name,Team,Position,Goals,Assists,Shots,Shots On Target,Fouls Won,Minutes Played,MAX,MLS_Drafted
Alex Meinhard,Clemson,Forward,11,1,47,29,38,1632,84.0,False
Nicolas Hald Willumsen,UC Santa Barbara,Forward,6,2,38,12,20,872,84.0,False
Nikos Clarke-Tosczak,Rhode Island,Defender,0,2,4,2,52,1440,84.0,False
So Nishikawa,Green Bay,Defender,2,3,25,7,26,1543,84.0,False
Rochaine Baker,UIW,Defender,1,0,5,2,6,1542,84.0,False
Richy Lapointe-Guevara,Seattle U,Defender,4,3,36,16,22,1347,84.0,False
Jared Smith,Seton Hall,Defender,4,1,25,14,11,1352,84.0,False
Thiago Cagna,Iona,Midfielder,2,10,32,8,44,1570,84.0,False
Antonio Biggs,St. John's (NY),Defender,1,1,14,5,10,1465,84.0,False
Willie Cardona,Virginia Tech,Defender,0,2,3,0,14,1421,84.0,False
Joe Highfield,Portland,Forward,7,3,31,19,19,979,84.0,False
Julian Beban,Holy Cross,Defender,1,3,12,6,6,1459,84.0,False
Jed Dixon,Fordham,Defender,1,1,6,3,12,1657,84.0,False
Leo Andrade,Gardner-Webb,Defender,4,1,13,4,25,1626,84.0,False
Callum Frogson,Fla. Atlantic,Defender,1,2,5,3,19,1397,84.0,False
Anderson Rosa,UCF,Defender,2,5,30,10,24,1350,84.0,False
Connor Mautino,CSU Bakersfield,Forward,11,1,40,26,43,1310,84.0,False
Cason Goodman,UC Davis,Forward,11,3,55,30,28,1606,84.0,False
Noah Kvifte,Fla. Atlantic,Forward,8,2,30,20,18,973,84.0,False
Fabian Straudi,Oregon St.,Midfielder,2,12,18,5,12,1215,84.0,False
Daniel Ittycheria,Princeton,Forward,9,1,68,28,20,1427,84.0,True
Josef Hefele,UNCW,Defender,4,0,9,5,11,1655,84.0,False
Guillaume Vacter,UConn,Defender,1,0,2,1,7,1410,84.0,False
Nk Tima,FDU,Defender,3,0,7,3,19,1727,84.0,False
Yanis Lelin,James Madison,Defender,4,0,22,12,23,1297,84.0,False
David Ajagbe,Ohio St.,Forward,7,2,42,17,18,1048,84.0,False
Gage Guerra,Louisville,Forward,9,3,30,17,10,1234,84.0,False
Hector Taboada,Kansas City,Midfielder,9,2,33,19,13,691,84.0,False
Nacho Diaz-Caneja,Evansville,Defender,2,1,14,3,62,1444,84.0,False
Olle Brorsson,Monmouth,Defender,0,1,4,1,9,1430,84.0,False
Fabian Overkamp,Robert Morris,Defender,1,0,12,4,4,1669,84.0,False
Sam Keogan,LIU,Defender,0,0,9,3,9,1778,84.0,False
Miguel Arilla,Creighton,Midfielder,4,7,32,13,9,815,84.0,False
Sebastian Hernandez,Portland,Defender,1,1,13,6,8,1531,84.0,False
Hakim Karamoko,NC State,Forward,7,2,45,16,36,1077,84.0,True
Logan Longo,Memphis,Defender,4,3,11,7,17,1480,84.0,False
Stefan Dobrijevic,Akron,Forward,2,4,19,6,8,468,84.0,False
Brevyn Cole,Kansas City,Defender,1,3,12,5,25,1554,84.0,False
Agustin Resch,Seton Hall,Defender,1,0,15,5,10,1452,84.0,False
Tyler Schommer,Denver,Forward,2,4,8,6,8,409,84.0,False
Tristan Viviani,San Diego St.,Defender,1,1,15,6,36,1496,84.0,False
Kamran Acito,Duke,Defender,0,2,5,2,20,1439,84.0,False
Olafur Floki Stephensen,Virginia Tech,Defender,2,1,16,5,15,1428,84.0,False
Kevin Carmichael,California,Defender,1,1,9,3,10,1559,84.0,False
Max Viera,Georgetown,Defender,0,4,29,7,23,1286,84.0,False
Tom Dobek-Pietrowski,Utah Valley,Defender,0,0,4,1,14,1569,84.0,False
Liam Harrington,Grand Canyon,Defender,0,0,1,1,11,1620,84.0,False
Andrija Savic,Creighton,Defender,1,0,9,4,12,1605,84.0,False
Luka Geishauser,CSU Bakersfield,Defender,0,0,7,4,20,1522,84.0,False
Jack Lucas,Bucknell,Defender,3,4,25,10,9,1315,84.0,False
Dylan Sumner,Mercyhurst,Midfielder,8,6,53,25,19,1517,84.0,False
Chris Steinleitner,Maryland,Defender,1,3,4,2,23,1591,84.0,False
Kyle Genenbacher,Notre Dame,Defender,2,2,7,3,9,1461,84.0,False
Ethan Ballek,South Carolina,Midfielder,9,4,50,23,26,1296,84.0,True
Reid Fisher,San Diego St.,Defender,1,2,10,3,22,1509,84.0,True
Luke Hille,North Carolina,Forward,8,1,38,18,26,1045,84.0,False
Angel Iniguez,San Jose St.,Midfielder,10,7,52,31,39,1649,84.0,False
Grant Martin,VMI,Forward,6,2,29,11,11,782,84.0,False
Donovan Sessoms,Sacramento St.,Forward,10,0,48,24,26,1190,84.0,True
Matteo Correia,Cleveland St.,Forward,9,3,17,10,17,1016,84.0,False
Alex Nitzl,Maryland,Defender,1,2,4,1,13,1662,84.0,False
Taig Healy,NC State,Midfielder,6,6,56,21,15,1557,84.0,False
Connor Miller,Cornell,Midfielder,4,9,29,15,23,1538,84.0,False
Julian Borja,Cal St. Fullerton,Defender,0,0,7,1,15,1727,84.0,False
Elird Mero,Iona,Defender,0,3,7,2,2,1546,84.0,False
Francesco Chiappo,LIU,Defender,1,1,13,5,8,1701,84.0,False
Alex Brown,Massachusetts,Defender,1,1,1,1,8,1478,84.0,False
Carlos Hernando,West Virginia,Defender,2,1,8,3,17,1458,84.0,False
Alberto Anaya,Bowling Green,Midfielder,3,9,35,15,47,1653,84.0,False
Carson Hodgson,Western Mich.,Midfielder,6,6,38,18,57,1747,84.0,False
Paul Yeboah,Dayton,Defender,0,0,9,0,22,1551,84.0,False
Arnaud Tattevin,UNC Greensboro,Forward,7,2,33,18,11,922,84.0,False
Ibrahim Conde,New Hampshire,Forward,6,1,22,11,26,706,84.0,False
Marko Borkovic,Ohio St.,Midfielder,5,5,44,20,29,1158,84.0,False
Dren Dobruna,Siena,Defender,2,10,14,3,24,1206,84.0,False
Matt Lenert,Col. of Charleston,Forward,8,2,28,12,10,1048,84.0,False
Amoni Thomas,Wake Forest,Defender,0,3,11,4,27,1312,83.0,False
Noah James,Western Mich.,Midfielder,7,5,40,15,19,1654,83.0,False
Andrew Goldsworthy,South Carolina,Defender,0,2,4,1,7,1403,83.0,False
Max Rogers,Maryland,Midfielder,4,9,36,15,23,1540,83.0,False
Jacob Woznicki,Hofstra,Forward,9,5,43,21,27,1768,83.0,True
Jozef Palushaj,Lindenwood,Forward,1,5,8,2,6,406,83.0,False
Louis Hiepen,UNLV,Defender,2,0,7,3,10,1530,83.0,False
Bastian Hatcher,Monmouth,Defender,2,1,9,4,19,1309,83.0,False
Teva Lossec,Campbell,Defender,2,3,24,10,24,1256,83.0,False
Thomas Gray,Fordham,Defender,1,3,11,3,8,1508,83.0,False
Mitch Ferguson,Notre Dame,Defender,2,3,9,4,8,1393,83.0,False
Wahabu Musah,Clemson,Forward,6,4,42,16,15,1224,83.0,False
Yasha Schaerer,SIUE,Midfielder,3,9,42,19,24,1508,83.0,False
Artem Vovk,UCLA,Forward,3,1,17,7,3,405,83.0,False
Hugo Urdiales,Loyola Chicago,Forward,6,4,29,16,9,989,83.0,False
Carlo Cavalar,Binghamton,Defender,0,3,9,1,16,1452,83.0,False
Brendan Krueger,High Point,Midfielder,6,8,17,10,16,1375,83.0,False
Josh Gordon,Kentucky,Defender,0,5,14,4,13,1366,83.0,False
Andre Cutler-Dejesus,Syracuse,Defender,1,1,7,3,23,1440,83.0,False
Stefano Campisi,Gonzaga,Midfielder,3,3,22,9,6,428,83.0,False
Jose Olmos,Portland,Defender,1,2,8,3,13,1426,83.0,False
Samy Kanaan,San Diego,Forward,9,2,48,16,25,1329,83.0,True
Ryan Belal,Wake Forest,Forward,4,0,12,5,5,420,83.0,False
Sam Zeeman,Houston Christian,Defender,4,1,6,4,9,1388,83.0,False
Ethan Hackenberg,Virginia Tech,Forward,5,1,33,18,7,702,83.0,False
Tajio James,Central Ark.,Midfielder,7,4,35,18,13,799,83.0,False
Jackson D'Alessandro,UC Riverside,Defender,1,4,5,3,31,1373,83.0,False
Omar Yehya,Utah Valley,Midfielder,12,3,51,22,23,1448,83.0,False
Trenton Blake,Dartmouth,Forward,6,4,48,19,16,1172,83.0,False
Riley Clothier,Belmont,Defender,0,1,14,2,19,1416,83.0,False
Sebastiano Musu,Manhattan,Forward,6,6,41,12,18,1164,83.0,False
Beau Yantz,High Point,Defender,1,2,15,3,11,1419,83.0,False
Alioune Ka,Cornell,Forward,8,3,40,23,21,1409,83.0,True
Josh Ramsey,Notre Dame,Defender,0,1,5,2,16,1469,83.0,False
Jackson Kim,Memphis,Defender,0,0,13,8,17,1529,83.0,False
Moritz Gundelach,Boston College,Defender,1,0,4,3,14,1409,83.0,False
Ryan Wrobleski,Western Ill.,Defender,0,1,7,3,11,1621,83.0,False
Dale Lepper,Colgate,Defender,0,0,1,1,8,1569,83.0,False
Baptiste Boit,Oral Roberts,Defender,1,0,5,4,6,1440,83.0,False
Evan Wellerstein,UC San Diego,Defender,1,0,9,4,18,1615,83.0,False
Matthew Goncalves,New Hampshire,Forward,8,2,38,21,25,1107,83.0,False
